iter	Passed	Remaining
962	61482	2362
963	61546	2298
964	61611	2234
965	61675	2170
966	61741	2107
967	61808	2043
968	61873	1979
969	61935	1915
970	61999	1851
971	62060	1787
972	62125	1723
973	62189	1660
974	62253	1596
975	62315	1532
976	62376	1468
977	62440	1404
978	62505	1340
979	62568	1276
980	62633	1213
981	62698	1149
982	62760	1085
983	62822	1021
984	62887	957
985	62949	893
986	63013	829
987	63074	766
988	63138	702
989	63208	638
990	63268	574
991	63333	510
992	63396	446
993	63458	383
994	63524	319
995	63585	255
996	63658	191
997	63721	127
998	63781	63
999	63848	0
